,Gross domestic product 2023,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
GNQ,147,,Equatorial Guinea," 12,338 ",
TJK,148,,Tajikistan," 12,061 ",
SOM,149,,Somalia," 10,969 ",
MRT,150,,Mauritania," 10,652 ",
XKX,151,,Kosovo," 10,468 ",
MCO,152,,Monaco," 9,995 ",
NCL,153,,New Caledonia," 9,623 ",
TGO,154,,Togo," 9,171 ",
BMU,155,,Bermuda," 8,142 ",
IMN,156,,Isle of Man," 7,931 ",
MNE,157,,Montenegro," 7,531 ",
LIE,158,,Liechtenstein," 7,362 ",
CYM,159,,Cayman Islands," 7,139 ",
GUM,160,,Guam," 6,910 ",
BRB,161,,Barbados," 6,721 ",
MDV,162,,Maldives," 6,591 ",
SLE,163,,Sierra Leone," 6,412 ",
PYF,164,,French Polynesia," 5,815 ",
FJI,165,,Fiji," 5,442 ",
VIR,166,,Virgin Islands (U.S.)," 4,672 ",
SWZ,167,,Eswatini," 4,443 ",
LBR,168,,Liberia," 4,240 ",
DJI,169,,Djibouti," 4,099 ",
FRO,170,,Faroe Islands," 3,907 ",
AND,171,,Andorra," 3,785 ",
ABW,172,,Aruba," 3,649 ",
SUR,173,,Suriname," 3,455 ",
CUW,174,,Curaçao," 3,281 ",
GRL,175,,Greenland," 3,236 ",
BLZ,176,,Belize," 3,067 ",
BTN,177,,Bhutan," 2,898 ",
BDI,178,,Burundi," 2,642 ",
CAF,179,,Central African Republic," 2,555 ",
CPV,180,,Cabo Verde," 2,534 ",
LCA,181,,St. Lucia," 2,430 ",
GMB,182,,"Gambia, The"," 2,396 ",
SYC,183,,Seychelles," 2,141 ",
LSO,184,,Lesotho," 2,118 ",
TLS,185,,Timor-Leste," 2,080 ",
GNB,186,,Guinea-Bissau," 2,048 ",
ATG,187,,Antigua and Barbuda," 2,033 ",
SMR,188,,San Marino," 1,832 ",
SLB,189,,Solomon Islands," 1,633 ",
SXM,190,,Sint Maarten (Dutch part)," 1,628 ",
TCA,191,,Turks and Caicos Islands," 1,402 ",
COM,192,,Comoros," 1,352 ",
GRD,193,,Grenada," 1,317 ",
VUT,194,,Vanuatu," 1,126 ",
MNP,195,,Northern Mariana Islands," 1,096 ",
VCT,196,,St. Vincent and the Grenadines," 1,066 ",
KNA,197,,St. Kitts and Nevis," 1,055 ",
WSM,198,,Samoa, 938 ,
ASM,199,,American Samoa, 871 ,
STP,200,,São Tomé and Principe, 679 ,
DMA,201,,Dominica, 654 ,
MAF,202,,St. Martin (French part), 649 ,
TON,203,,Tonga, 518 ,
FSM,204,,"Micronesia, Fed. Sts.", 460 ,
PLW,205,,Palau, 282 ,
KIR,206,,Kiribati, 279 ,
MHL,207,,Marshall Islands, 259 ,
NRU,208,,Nauru, 154 ,
TUV,209,,Tuvalu, 62 ,
VGB,,,British Virgin Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 106,171,668 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,780,177 ",
ECS,,,Europe & Central Asia," 27,554,070 ",
LCN,,,Latin America & Caribbean," 7,100,142 ",
MEA,,,Middle East & North Africa," 4,320,567 ",
NAC,,,North America," 29,871,322 ",
SAS,,,South Asia," 4,494,987 ",
SSF,,,Sub-Saharan Africa," 2,044,578 ",
LIC,,,Low income," 663,529 ",
LMC,,,Lower middle income," 7,439,509 ",
UMC,,,Upper middle income," 29,440,021 ",
HIC,,,High income," 68,276,493 ",
,,,,,
,"- Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2022 or 2021.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
