,year,date,race_id,grand_prix,circuit_ref,circuit_name,country,winner_driver,won_home_race,url
1013,1963,1963-05-26,719,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,hill,False,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
1014,1962,1962-12-29,737,South African Grand Prix,george,Prince George Circuit,South Africa,hill,False,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
1015,1962,1962-10-07,736,United States Grand Prix,watkins_glen,Watkins Glen,USA,clark,False,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
1016,1962,1962-09-16,735,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,hill,False,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
1017,1962,1962-08-05,734,German Grand Prix,nurburgring,Nürburgring,Germany,hill,False,http://en.wikipedia.org/wiki/1962_German_Grand_Prix
1018,1962,1962-07-21,733,British Grand Prix,aintree,Aintree,UK,clark,True,http://en.wikipedia.org/wiki/1962_British_Grand_Prix
1019,1962,1962-07-08,732,French Grand Prix,essarts,Rouen-Les-Essarts,France,gurney,False,http://en.wikipedia.org/wiki/1962_French_Grand_Prix
1020,1962,1962-06-17,731,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,clark,False,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
1021,1962,1962-06-03,730,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,mclaren,False,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
1022,1962,1962-05-20,729,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,hill,False,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
1023,1961,1961-10-08,745,United States Grand Prix,watkins_glen,Watkins Glen,USA,ireland,False,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
1024,1961,1961-09-10,744,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,phil_hill,False,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
1025,1961,1961-08-06,743,German Grand Prix,nurburgring,Nürburgring,Germany,moss,False,http://en.wikipedia.org/wiki/1961_German_Grand_Prix
1026,1961,1961-07-15,742,British Grand Prix,aintree,Aintree,UK,trips,False,http://en.wikipedia.org/wiki/1961_British_Grand_Prix
1027,1961,1961-07-02,741,French Grand Prix,reims,Reims-Gueux,France,baghetti,False,http://en.wikipedia.org/wiki/1961_French_Grand_Prix
1028,1961,1961-06-18,740,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,phil_hill,False,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
1029,1961,1961-05-22,739,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,trips,False,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
1030,1961,1961-05-14,738,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,moss,False,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
1031,1960,1960-11-20,755,United States Grand Prix,riverside,Riverside International Raceway,USA,moss,False,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
1032,1960,1960-09-04,754,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,phil_hill,False,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
1033,1960,1960-08-14,753,Portuguese Grand Prix,boavista,Circuito da Boavista,Portugal,jack_brabham,False,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
1034,1960,1960-07-16,752,British Grand Prix,silverstone,Silverstone Circuit,UK,jack_brabham,False,http://en.wikipedia.org/wiki/1960_British_Grand_Prix
1035,1960,1960-07-03,751,French Grand Prix,reims,Reims-Gueux,France,jack_brabham,False,http://en.wikipedia.org/wiki/1960_French_Grand_Prix
1036,1960,1960-06-19,750,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,jack_brabham,False,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
